Field of study,Graduates (count),Employment rate (%),Net monthly wage (EUR)
Total,,88.2,1768
"Agriculture, Forestry and Veterinary",,89.4,1745
Architecture and Civil Engineering,,92.2,1838
Arts and Design,,79.4,1519
Economics,,90.1,1877
Education,,85.8,1412
Law,,84.6,1726
Computer Science and ICT,,89.7,2146
Industrial and Information Engineering,,94.1,2088
Literature and Humanities,,79.5,1492
Languages,,84.7,1549
"Medical, Health and Pharmaceutical",,91.6,1817
Social Sciences and Communication,,83.4,1709
Psychology,,85.8,1470
Natural Sciences and Mathematics,,87.6,1736
Sports Science,,87.4,1566
